feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko00100	Group	Jackson Labs	0.0112268821780246	0.0013671115307898	50	32	2.00444657771961e-10	1.92426871461083e-07
ko05014	Group	Har__ar Transplant	0.0111416975995109	0.00144484517478395	50	50	1.05146648306888e-09	5.0470391187306e-07
ko04910	Group	Jackson Labs	0.00846179117092788	0.00112578353797649	50	50	2.0158408722843e-09	6.45069079130976e-07
ko03050	Group	Broad Institute	-0.00371962431328678	0.000541309096081297	50	40	1.7640539673452e-08	4.23372952162848e-06
ko04260	Group	Har__ar Transplant	0.0116216565753603	0.00178841395370034	50	46	6.23902376935333e-08	9.9177129851606e-06
ko03050	Group	Harvard BRI	-0.00350144488577072	0.000541309096081297	50	40	6.90252675009505e-08	9.9177129851606e-06
ko00944	Group	Har__ar Transplant	-0.00511841956162579	0.000797842795122085	50	50	8.26476082096717e-08	9.9177129851606e-06
ko00944	Group	Harvard BRI	-0.00441151500877591	0.000686450764085159	50	50	7.95605184807066e-08	9.9177129851606e-06
ko05120	Group	Har__ar Transplant	0.00459458828267954	0.000728409689370985	50	50	1.19022669549885e-07	1.1426176276789e-05
ko05143	Group	Jackson Labs	-0.00401334820476851	0.000633923605519756	50	50	1.09998320919792e-07	1.1426176276789e-05
ko05012	Group	Har__ar Transplant	0.0130092130201313	0.00208079434197563	50	50	1.43726818706116e-07	1.14981454964893e-05
ko00471	Group	Jackson Labs	-0.00426273765042695	0.000680795000851002	50	50	1.3923521288589e-07	1.14981454964893e-05
ko03050	Group	Har__ar Transplant	-0.00387701149899305	0.000629148636491187	50	40	1.94788078074207e-07	1.43843503808645e-05
ko00983	Group	Har__ar Transplant	-0.00485938096992557	0.000797697942785426	50	50	2.47368570444193e-07	1.69624162590304e-05
ko05010	Group	Har__ar Transplant	0.00590926579925731	0.000996054780593858	50	50	4.23784112712252e-07	2.54270467627351e-05
ko00944	Group	Broad Institute	-0.00407858411914309	0.00068645076408516	50	50	4.11244041286123e-07	2.54270467627351e-05
ko05142	Group	Jackson Labs	-0.00391078458744606	0.000667685553951868	50	50	5.46887034609782e-07	3.088303254267e-05
ko03050	Group	Brd__ar Transplant	-0.00364351463093857	0.000629148636491187	50	40	6.83533225741218e-07	3.6455105372865e-05
ko05412	Group	Jackson Labs	-0.00222293725948758	0.000394814270937115	50	45	1.17557772937772e-06	4.90675921827224e-05
ko04020	Group	Jackson Labs	-0.00222293725948758	0.000394814270937115	50	45	1.17557772937772e-06	4.90675921827224e-05
ko05414	Group	Jackson Labs	-0.00222293725948758	0.000394814270937115	50	45	1.17557772937772e-06	4.90675921827224e-05
ko04972	Group	Jackson Labs	-0.00222293725948758	0.000394814270937115	50	45	1.17557772937772e-06	4.90675921827224e-05
ko00930	Group	Jackson Labs	-0.00834330768655821	0.0014758889418663	50	50	1.0889401731594e-06	4.90675921827224e-05
ko00920	Group	Harvard BRI	0.00701057340657956	0.00125095731193133	50	50	1.2838124560164e-06	5.13524982406559e-05
ko00920	Group	Har__ar Transplant	0.00800087381373757	0.00145395319016046	50	50	1.80468573492308e-06	6.66345502125446e-05
ko05410	Group	Jackson Labs	-0.00217025762798239	0.000394374923551495	50	46	1.80353436379257e-06	6.66345502125446e-05
ko05211	Group	Jackson Labs	-0.00805683884498451	0.0015094729109506	50	50	3.14006115419497e-06	0.000111646618815821
ko05222	Group	Har__ar Transplant	0.00670091790388414	0.00127076170641461	50	50	3.89303644361074e-06	0.000114945630713595
ko05416	Group	Har__ar Transplant	0.00670091790388414	0.00127076170641461	50	50	3.89303644361074e-06	0.000114945630713595
ko05016	Group	Har__ar Transplant	0.00898541823924082	0.00170543339409943	50	50	3.95125605577984e-06	0.000114945630713595
ko05210	Group	Har__ar Transplant	0.00670091790388414	0.00127076170641461	50	50	3.89303644361074e-06	0.000114945630713595
ko04115	Group	Har__ar Transplant	0.00670091790388414	0.00127076170641461	50	50	3.89303644361074e-06	0.000114945630713595
ko05145	Group	Har__ar Transplant	0.00670091790388414	0.00127076170641461	50	50	3.89303644361074e-06	0.000114945630713595
ko00250	Group	Har__ar Transplant	-0.005492651516144	0.00104776557415628	50	50	4.31552115497104e-06	0.000121850009081535
ko03450	Group	Brd__ar Transplant	-0.00352003803481427	0.00067767815605455	50	50	5.06336588130479e-06	0.00013888089274436
ko05143	Group	Harvard BRI	-0.0026876364574552	0.000522197404349713	50	50	5.92917957621343e-06	0.000158111455365692
ko05143	Group	Broad Institute	-0.00267834243061557	0.000522197404349713	50	50	6.29017527222822e-06	0.000163204547603759
