"","feature","method","group1","group2","p_values","adj_method","p_adjust","pathway_name","pathway_description","pathway_class","pathway_map","negative_log10_p","group_nonsense","unique"
"ko04115","ko04115","limma voom","Pro-inflammatory","Pro-survival","0.000787141543196475","BH","0.015","p53 signaling pathway","p53 activation is induced by a number of stress signals, including DNA damage, oxidative stress and activated oncogenes. The p53 protein is employed as a transcriptional activator of p53-regulated genes. This results in three major outputs; cell cycle arrest, cellular senescence or apoptosis. Other p53-regulated gene functions communicate with adjacent cells, repair the damaged DNA or set up positive and negative feedback loops that enhance or attenuate the functions of the p53 protein and integrate these stress responses with other signal transduction pathways.","Cellular Processes; Cell growth and death","p53 signaling pathway",1.81614543618342,"nonsense",19
"ko04113","ko04113","limma voom","Pro-inflammatory","Pro-survival","0.0044761727270147","BH","0.045","Meiosis - yeast","During meiosis, a single round of DNA replication is followed by two rounds of chromosome segregation, called meiosis I and meiosis II. At meiosis I, one pair of sister chromatids recombines with, then segregates from, its homologous pair, while the sister chromatids segregate from each other at meoisis II. In yeast, the switch to enter growth phase or meiosis phase is controlled by nutritional signals. At the onset of meiosis, nutritional signaling pathways converge on transcriptional regulation of Ime1. Ime1 is a transcriptional activator to promote expression of early meiosis-specific genes required for pre-meiotic DNA replication and meiotic recombination. Two of the early meiosis-specific genes, a transcriptional activator, Ndt80, and a CDK2 homolog, Ime2, are required for the transcription of middle meiosis-specific genes, which includes B-type cyclin genes and genes involved in spore wall formation. Polo-like kinase Cdc5, whose expression is activated by Ndt80, is required for the critical step in meiotic progression. Cdc5 regulates sister-kinetochore co-orientation by promoting the localization of Mam1 and Lrs4, components of the co-orientation complex, to kinetochores. Cdc5 also phosphorylates the meiotic cohesin subunit Rec8, which is essential for its cleavage and removal by separase. Moreover, Cdc5 promotes the release of protein phosphatase Cdc14 from the nuclezus, which is required for anaphase I spindle disassembly and exit from meiosis I. The centromeric protein Sgo1 is a key regulator of meiotic chromosome segregation. Sgo1 with PP2A may protect pericentromeric but not arm cohesion of sister chromatids during meiosis I. Sgo1 then disappears at meiosis II to allow sister chromatids to separate.","Cellular Processes; Cell growth and death","Meiosis - yeast",1.3389888769624,"nonsense",18
"ko05222","ko05222","limma voom","Pro-inflammatory","Pro-survival","0.000787141543196475","BH","0.015","Small cell lung cancer","Lung cancer is a leading cause of cancer death among men and women in industrialized countries. Small cell lung carcinoma (SCLC) is a highly aggressive neoplasm, which accounts for approximately 25% of all lung cancer cases. Molecular mechanisms altered in SCLC include induced expression of oncogene, MYC, and loss of tumorsuppressor genes, such as p53, PTEN, RB, and FHIT. The overexpression of MYC proteins in SCLC is largely a result of gene amplification. Such overexpression leads to more rapid proliferation and loss of terminal differentiation. Mutation or deletion of p53 or PTEN can lead to more rapid proliferation and reduced apoptosis. The retinoblastoma gene RB1 encodes a nuclear phosphoprotein that helps to regulate cell-cycle progression. The fragile histidine triad gene FHIT encodes the enzyme diadenosine triphosphate hydrolase, which is thought to have an indirect role in proapoptosis and cell-cycle control.","Human Diseases; Cancer: specific types","Small cell lung cancer",1.81614543618342,"nonsense",17
"ko05210","ko05210","limma voom","Pro-inflammatory","Pro-survival","0.000787141543196475","BH","0.015","Colorectal cancer","Colorectal cancer (CRC) is the second largest cause of cancer-related deaths in Western countries. CRC arises from the colorectal epithelium as a result of the accumulation of genetic alterations in defined oncogenes and tumour suppressor genes (TSG). Two major mechanisms of genomic instability have been identified in sporadic CRC progression. The first, known as chromosomal instability (CIN), results from a series of genetic changes that involve the activation of oncogenes such as K-ras and inactivation of TSG such as p53, DCC/Smad4, and APC. The second, known as microsatellite instability (MSI), results from inactivation of the DNA mismatch repair genes MLH1 and/or MSH2 by hypermethylation of their promoter, and secondary mutation of genes with coding microsatellites, such as transforming growth factor receptor II (TGF-RII) and BAX. Hereditary syndromes have germline mutations in specific genes (mutation in the tumour suppressor gene APC on chromosome 5q in FAP, mutated DNA mismatch repair genes in HNPCC).","Human Diseases; Cancer: specific types","Colorectal cancer",1.81614543618342,"nonsense",16
"ko05416","ko05416","limma voom","Pro-inflammatory","Pro-survival","0.000787141543196475","BH","0.015","Viral myocarditis","Myocarditis is a cardiac disease associated with inflammation and injury of the myocardium. It results from various etiologies, both noninfectious and infectious, but coxsackievirus B3 (CVB3) is still considered the dominant etiological agent. Myocarditis may be caused by direct cytopathic effects of virus, a pathologic immune response to persistent virus, or autoimmunity triggered by the viral infection. The virus enters the myocyte through internalization of the coxsackie-adenoviral receptor (CAR) and its coreceptor, decay-accelerating factor (DAF). Viral proteases cleave various proteins in the host cell. One example is viral protease 2A, which cleaves eukaryote initiation factor 4G (eIF4G) and the dystrophin protein, resulting in a complete shutdown of cap-dependent RNA translation and cytoskeletal destruction in infected cardiomyocytes, respectively. CVB3 also cleaves the member of the Bcl-2 family Bid, leading to apoptosis. CVB3 infection also induces the cleavage of cyclin D protein through a proteasome-dependent pathway, leading to the host cell-growth arrest. Viral infection and necrosis of myocytes may lead to the release of intracellular antigens, resulting in activation of self-reactive T cells. CVB infection is a significant cause of dilated cardiomyopathy (DCM) as well as myocarditis. Epidemiologically, myocarditis underlies a significant portion of patients with DCM.","Human Diseases; Cardiovascular disease","Viral myocarditis",1.81614543618342,"nonsense",15
"ko05146","ko05146","limma voom","Pro-inflammatory","Pro-survival","0.000111941892460612","BH","0.008","Amoebiasis","Entamoeba histolytica, an extracellular protozoan parasite is a human pathogen that invades the intestinal epithelium. Infection occurs on ingestion of contaminated water and food. The pathogenesis of amoebiasis begins with parasite attachment and disruption of the intestinal mucus layer, followed by apoptosis of host epithelial cells. Intestinal tissue destruction causes severe dysentery and ulcerations in amoebic colitis. Several amoebic proteins such as lectins, cysteine proteineases, and amoebapores are associated with the invasion process. The parasite can cause extraintestinal infection like amoebic liver abscess by evading immune response.","Human Diseases; Infectious disease: parasitic","Amoebiasis",2.09372926149896,"nonsense",14
"ko05145","ko05145","limma voom","Pro-inflammatory","Pro-survival","0.000787141543196475","BH","0.015","Toxoplasmosis","Toxoplasma gondii is an obligate intracellular parasite that is prevalent worldwide. The tachyzoite form acquired by oral ingestion downmodulates proinflammatory signaling pathways via various mechanisms. During early infection, nuclear translocation of NFkB is temporally blocked and p38 MAPK phosphorylation is prevented, suppressing IL-12 production. Another pathway for IL-12 induction occurs through CCR5 dependent pathway, but parasitic induction of an eicosanoid LXA4 contributes to the downregulation of IL-12. Direct activation of STAT3 by the parasite enhance anti-inflammatory function of IL-10 and TGF beta. T. gondii can cause lifelong chronic infection by establishing an anti-apoptotic environment through induction of bcl-2 or IAPs and by redirecting LDL-mediated cholesterol transport to scavenge nutrients from the host.","Human Diseases; Infectious disease: parasitic","Toxoplasmosis",1.81614543618342,"nonsense",13
"ko05012","ko05012","limma voom","Pro-inflammatory","Pro-survival","6.91729621286469e-05","BH","0.008","Parkinson disease","Parkinson disease (PD) is a progressive neurodegenerative movement disorder that results primarily from the death of dopaminergic (DA) neurons in the substantia nigra pars compacta (SNc). Both environmental factors and mutations in familial PD-linked genes such as SNCA, Parkin, DJ-1, PINK1 and LRRK2 are associated with PD pathogenesis. These pathogenic mutations and environmental factors are known to cause disease due to oxidative stress, intracellular Ca2+ homeostasis impairment, mitochondrial dysfunctions and altered protein handling compromising key roles of DA neuronal function and survival. The demise of DA neurons located in the SNc leads to a drop in the dopaminergic input to the striatum, which is hypothesized to impede movement by inducing hypo and hyper activity in striatal spiny projection neurons (SPNs) of the direct (dSPNs) and indirect (iSPNs) pathways in the basal ganglia, respectively.","Human Diseases; Neurodegenerative disease","Parkinson disease",2.09372926149896,"nonsense",12
"ko05016","ko05016","limma voom","Pro-inflammatory","Pro-survival","0.000262380409822426","BH","0.012","Huntington disease","Huntington disease (HD) is an autosomal-dominant neurodegenerative disorder that primarily affects medium spiny striatal neurons (MSN). The symptoms are choreiform, involuntary movements, personality changes and dementia. HD is caused by a CAG repeat expansion in the IT15 gene, which results in a long stretch of polyglutamine (polyQ) close to the amino-terminus of the HD protein huntingtin (Htt). Mutant Htt (mHtt) has effects both in the cytoplasm and in the nucleus. Full-length huntingtin is cleaved by proteases in the cytoplasm, leading to the formation of cytoplasmic and neuritic aggregates. mHtt also alters vesicular transport and recycling, causes cytosolic and mitochondrial Ca2+  overload, triggers endoplasmic reticulum stress through proteasomal dysfunction, and impairs autophagy function, increasing neuronal death susceptibility. N-terminal fragments containing the polyQ strech translocate to the nucleus where they impair transcription and induce neuronal death.","Human Diseases; Neurodegenerative disease","Huntington disease",1.89532685532683,"nonsense",11
"ko05010","ko05010","limma voom","Pro-inflammatory","Pro-survival","0.000377824643017911","BH","0.014","Alzheimer disease","Alzheimer disease (AD) is a chronic disorder that slowly destroys neurons and causes serious cognitive disability. AD is associated with senile plaques and neurofibrillary tangles (NFTs). Amyloid-beta (Abeta), a major component of senile plaques, has various pathological effects on cell and organelle function. To date genetic studies have revealed four genes that may be linked to autosomal dominant or familial early onset AD (FAD). These four genes include: amyloid precursor protein (APP), presenilin 1 (PS1), presenilin 2 (PS2) and apolipoprotein E (ApoE). All mutations associated with APP and PS proteins can lead to an increase in the production of Abeta peptides, specfically the more amyloidogenic form, Abeta42. It was proposed that Abeta form Ca2+ permeable pores and bind to and modulate multiple synaptic proteins, including NMDAR, mGluR5 and VGCC, leading to the overfilling of neurons with calcium ions. Consequently, cellular Ca2+ disruptions will lead to neuronal apoptosis, autophagy deficits, mitochondrial abnormality, defective neurotransmission, impaired synaptic plasticity and neurodegeneration in AD. FAD-linked PS1 mutation downregulates the unfolded protein response and leads to vulnerability to ER stress.","Human Diseases; Neurodegenerative disease","Alzheimer disease",1.83387799372186,"nonsense",10
"ko00190","ko00190","limma voom","Pro-inflammatory","Pro-survival","0.00309703777242559","BH","0.042","Oxidative phosphorylation","nonsense","Metabolism; Energy metabolism","Oxidative phosphorylation",1.3673798035698,"nonsense",9
"ko00540","ko00540","limma voom","Pro-inflammatory","Pro-survival","0.00362189115076711","BH","0.043","Lipopolysaccharide biosynthesis","Lipopolysaccharide (LPS) is the major component of the outer membrane of Gram-negative bacteria consisting of three domains: a hydrophobic anchor called lipid A, a non-repeating core oligosaccharide (OS) and a repetitive glycan polymer called O-antigen or O-polysaccharide (O-PS). The enzymes for the biosynthesis of lipid A are well conserved among Gram-negative bacterial species [MD:M00060 M00866]. The core OS connecting lipid A with O-antigen is divided into inner and outer parts. Five core types, K-12 and R1-R4, are identified in Escherichia coli, with the common inner part composed of Kdo (ketodeoxyoctulosonic acid) and Hep (heptose) residues and the outer part made of various sugar residues. O-antigen is the most variable part used for serotyping of pathogenic Escherichia coli, where about 170 types are known. All three domains are involved in toxicity, pathogenicity, antimicrobial resistance and other activities.","Metabolism; Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1.35738285846813,"nonsense",8
"ko00591","ko00591","limma voom","Pro-inflammatory","Pro-survival","0.00303428515027517","BH","0.042","Linoleic acid metabolism","nonsense","Metabolism; Lipid metabolism","Linoleic acid metabolism",1.3673798035698,"nonsense",7
"ko00100","ko00100","limma voom","Pro-inflammatory","Pro-survival","0.00356081608844089","BH","0.043","Steroid biosynthesis","nonsense","Metabolism; Lipid metabolism","Steroid biosynthesis",1.35738285846813,"nonsense",6
"ko00592","ko00592","limma voom","Pro-inflammatory","Pro-survival","0.00448459914600317","BH","0.045","alpha-Linolenic acid metabolism","nonsense","Metabolism; Lipid metabolism","alpha-Linolenic acid metabolism",1.3389888769624,"nonsense",5
"ko01055","ko01055","limma voom","Pro-inflammatory","Pro-survival","0.00285533022509248","BH","0.042","Biosynthesis of vancomycin group antibiotics","nonsense","Metabolism; Metabolism of terpenoids and polyketides","Biosynthesis of vancomycin group antibiotics",1.3673798035698,"nonsense",4
