sample_name	Environment	Group
SRR11393730	Pro-survival	Broad Institute
SRR11393731	Pro-survival	Broad Institute
SRR11393732	Pro-survival	Broad Institute
SRR11393733	Pro-survival	Broad Institute
SRR11393734	Pro-survival	Broad Institute
SRR11393735	Pro-survival	Jackson Labs
SRR11393736	Pro-survival	Jackson Labs
SRR11393737	Pro-survival	Jackson Labs
SRR11393738	Pro-survival	Jackson Labs
SRR11393739	Pro-survival	Jackson Labs
SRR11393740	Pro-inflammatory	Harvard BRI
SRR11393741	Pro-inflammatory	Harvard BRI
SRR11393742	Pro-inflammatory	Harvard BRI
SRR11393743	Pro-inflammatory	Harvard BRI
SRR11393744	Pro-inflammatory	Harvard BRI
